date,open,high,low,close,volume,RSI
2017-05-18 16:00:00,1.11297,1.11379,1.11225,1.11256,12018.6699,41.26632720832537
2017-05-18 17:00:00,1.11253,1.11302,1.10836,1.10893,14854.3096,37.90613718411656
2017-05-18 18:00:00,1.10891,1.11049,1.10757,1.11028,14180.2002,42.012448132779994
2017-05-18 19:00:00,1.11027,1.1114,1.10927,1.11126,10147.0195,43.53973256111
2017-05-18 20:00:00,1.11126,1.11128,1.1102,1.11028,5265.1099,42.45142002989492
2017-05-18 21:00:00,1.11026,1.11032,1.10968,1.11008,2684.74,44.1717791411037
2017-05-18 22:00:00,1.11009,1.11111,1.10982,1.11076,3280.5801,45.600740927842516
2017-05-18 23:00:00,1.11077,1.11146,1.11074,1.11101,4243.46,41.51789491496596
2017-05-19 00:00:00,1.111,1.11115,1.11061,1.11088,6069.9102,43.30597475950845
2017-05-19 01:00:00,1.11088,1.11136,1.11048,1.11072,6725.0,42.698650674660776
2017-05-19 02:00:00,1.11072,1.11072,1.10995,1.11024,5811.8301,46.084142394820006
2017-05-19 03:00:00,1.11023,1.11104,1.11022,1.11087,5480.2402,46.87569988801558
2017-05-19 04:00:00,1.11087,1.11134,1.11072,1.11117,5034.4702,46.32877022287368
2017-05-19 05:00:00,1.11117,1.11144,1.11093,1.11135,4224.6401,40.79620616497964
2017-05-19 06:00:00,1.11134,1.11267,1.11092,1.11224,10720.0996,43.83804901148049
2017-05-19 07:00:00,1.11226,1.11434,1.11221,1.11388,12089.1904,45.49045424621207
2017-05-19 08:00:00,1.11389,1.11608,1.11353,1.11493,12474.04,67.43002544528949
2017-05-19 09:00:00,1.11493,1.11654,1.11467,1.11584,11086.5195,66.10767872903494
2017-05-19 10:00:00,1.11586,1.11677,1.11561,1.11632,10367.0098,64.44444444444153
2017-05-19 11:00:00,1.11634,1.11835,1.11606,1.11779,11789.5996,76.48931332423429
2017-05-19 12:00:00,1.11779,1.11859,1.11746,1.11792,12348.0303,73.74784110535063
2017-05-19 13:00:00,1.11793,1.11967,1.11782,1.11885,14201.71,74.30262045646296
2017-05-19 14:00:00,1.11886,1.11969,1.11842,1.11953,14283.9697,75.2039151712851
2017-05-19 15:00:00,1.11953,1.11968,1.11872,1.11891,11443.0898,64.65638148667367
2017-05-19 16:00:00,1.1189,1.11956,1.11851,1.11907,8298.5,56.77146311971079
2017-05-19 17:00:00,1.11905,1.12117,1.11897,1.12104,11369.5596,56.72981056829978
2017-05-19 18:00:00,1.12104,1.12108,1.12042,1.12042,9209.0098,57.12765957446832
2017-05-19 19:00:00,1.12045,1.12112,1.11984,1.12039,13522.0801,66.75191815856881
2017-05-19 20:00:00,1.12041,1.12083,1.12019,1.12065,6402.52,66.87898089172069
2017-05-21 20:00:00,1.12065,1.12065,1.12065,1.12065,0.0,64.86486486486592
2017-05-21 21:00:00,1.11917,1.12077,1.11916,1.12006,1902.0699,63.04193319118814
2017-05-21 22:00:00,1.12006,1.12075,1.12,1.12065,3748.4099,61.8208516886941
2017-05-21 23:00:00,1.12065,1.121,1.12007,1.12032,6274.1099,62.62247237857116
2017-05-22 00:00:00,1.12032,1.12032,1.11862,1.11865,8710.5098,51.64835164835115
2017-05-22 01:00:00,1.11866,1.11937,1.11827,1.1193,7103.3198,48.598130841120884
2017-05-22 02:00:00,1.11931,1.11931,1.11833,1.11916,5642.4502,54.142667257420136
2017-05-22 03:00:00,1.11917,1.11959,1.11903,1.11915,3355.8301,56.685910438445994
2017-05-22 04:00:00,1.11914,1.11941,1.11882,1.11885,3074.8201,57.874519846350154
2017-05-22 05:00:00,1.11884,1.11939,1.11848,1.11938,4848.5098,58.506772381894415
2017-05-22 06:00:00,1.11937,1.1201,1.11802,1.11845,11090.1504,57.921231862598084
2017-05-22 07:00:00,1.11844,1.11936,1.1164,1.11715,14318.6904,44.84536082474057
2017-05-22 08:00:00,1.11715,1.11788,1.11614,1.11679,10461.7803,46.08050847457417
2017-05-22 09:00:00,1.11681,1.12067,1.11659,1.12009,11658.6104,58.40519787359508
2017-05-22 10:00:00,1.12008,1.12365,1.12008,1.12273,15945.4697,66.12142788415107
2017-05-22 11:00:00,1.12273,1.1246,1.12263,1.12348,12923.4805,67.97052669880676
2017-05-22 12:00:00,1.12349,1.12498,1.12337,1.12453,11206.7695,68.3163862143417
2017-05-22 13:00:00,1.12451,1.12587,1.12406,1.12573,13577.9902,69.69097012998041
2017-05-22 14:00:00,1.12572,1.12634,1.12438,1.12465,15068.3301,66.71611042439014
2017-05-22 15:00:00,1.12467,1.12516,1.12285,1.12349,13111.0195,68.65671641790864
2017-05-22 16:00:00,1.1235,1.12375,1.12289,1.12337,7433.0098,72.44014263881667
2017-05-22 17:00:00,1.12337,1.12441,1.12328,1.12417,4655.8301,69.0744162607075
2017-05-22 18:00:00,1.12417,1.12434,1.12342,1.12356,6215.1099,66.75866547609215
2017-05-22 19:00:00,1.12356,1.12377,1.12292,1.12372,7006.2002,62.16400136100618
2017-05-22 20:00:00,1.12372,1.12421,1.1236,1.12372,4981.6001,60.90701353489095
2017-05-22 21:00:00,1.12372,1.12411,1.12356,1.12368,3144.1499,64.92411467116246
2017-05-22 22:00:00,1.12368,1.12422,1.12301,1.12384,4559.6001,66.42456256190005
2017-05-22 23:00:00,1.12387,1.12438,1.12364,1.12373,5113.5601,67.90415119810913
2017-05-23 00:00:00,1.12371,1.12471,1.12365,1.12394,6455.7998,59.583510412238674
2017-05-23 01:00:00,1.12394,1.12514,1.12391,1.12494,6390.75,52.990608007908264
2017-05-23 02:00:00,1.12493,1.12541,1.12471,1.12511,5867.4302,50.183342063907254
2017-05-23 03:00:00,1.12515,1.12516,1.12437,1.12455,5186.8799,46.53430242864655
2017-05-23 04:00:00,1.12455,1.12531,1.12424,1.12504,4392.3198,41.208576998050894
2017-05-23 05:00:00,1.12504,1.1251,1.12437,1.12442,4870.75,44.31865828092286
2017-05-23 06:00:00,1.12445,1.12455,1.1222,1.12252,15114.2305,39.36685288640649
2017-05-23 07:00:00,1.12249,1.12682,1.12229,1.12525,17937.7207,49.44396920444796
2017-05-23 08:00:00,1.12528,1.126,1.12411,1.12483,16049.1396,49.81423263789677
2017-05-23 09:00:00,1.12483,1.12626,1.12451,1.12581,11467.8496,51.246775580395
2017-05-23 10:00:00,1.12581,1.12603,1.12377,1.12386,10945.4004,46.9689958352615
2017-05-23 11:00:00,1.12386,1.124,1.12161,1.12175,11126.9404,45.813586097946434
2017-05-23 12:00:00,1.1218,1.12384,1.12111,1.12338,14192.3701,45.29195160441923
2017-05-23 13:00:00,1.12336,1.12435,1.12255,1.12256,13489.3203,48.96575110206958
2017-05-23 14:00:00,1.12255,1.1233,1.1213,1.12287,15871.3203,43.815374398141856
2017-05-23 15:00:00,1.12286,1.12491,1.11934,1.11968,19024.2598,41.78336667619498
2017-05-23 16:00:00,1.11968,1.12074,1.11821,1.11921,15362.2305,43.870220162226545
2017-05-23 17:00:00,1.11921,1.12087,1.11889,1.11964,9058.46,44.82915717539979
2017-05-23 18:00:00,1.11964,1.11988,1.11766,1.11847,8913.6699,43.6944937833054
2017-05-23 19:00:00,1.1185,1.1185,1.1175,1.11826,9322.8203,48.443735035915154
2017-05-23 20:00:00,1.11826,1.11852,1.1177,1.11826,5666.5801,42.536790469517925
2017-05-23 21:00:00,1.11822,1.11849,1.11796,1.11842,2206.3401,40.863543788188764
2017-05-23 22:00:00,1.11844,1.11893,1.11834,1.11872,3374.4299,29.462637255854872
2017-05-23 23:00:00,1.11873,1.11874,1.11772,1.11788,4025.1899,28.68224387475199
2017-05-24 00:00:00,1.11791,1.11917,1.11779,1.11866,6779.3398,27.41888899586077
2017-05-24 01:00:00,1.11866,1.1191,1.11802,1.11858,6483.0498,31.372549019608115
2017-05-24 02:00:00,1.11857,1.119,1.11842,1.11852,4021.8701,37.29701414353084
2017-05-24 03:00:00,1.11853,1.11856,1.11776,1.11805,4583.1001,28.862973760931624
2017-05-24 04:00:00,1.11805,1.11824,1.11782,1.11799,4385.1001,31.099476439789072
2017-05-24 05:00:00,1.11799,1.11809,1.11728,1.11779,5587.3901,32.871287128709824
2017-05-24 06:00:00,1.11779,1.1183,1.11712,1.11774,12069.5703,47.6327116212294
2017-05-24 07:00:00,1.11779,1.11848,1.117,1.11758,14538.2402,49.47839046199193
2017-05-24 08:00:00,1.11756,1.11965,1.11733,1.11854,14397.75,56.59411011523327
2017-05-24 09:00:00,1.11855,1.11888,1.11752,1.11762,12173.4902,58.38837516512195
2017-05-24 10:00:00,1.11766,1.1193,1.11749,1.11908,12654.1904,65.17055655295957
2017-05-24 11:00:00,1.11907,1.11923,1.11786,1.11875,12134.2305,69.20877025738491
2017-05-24 12:00:00,1.11874,1.1202,1.11849,1.11978,15433.6602,73.4593262119939
2017-05-24 13:00:00,1.11979,1.12047,1.11823,1.11865,15444.5801,72.50275287084867
2017-05-24 14:00:00,1.11868,1.11967,1.11812,1.11839,14224.8398,75.15082341431409
2017-05-24 15:00:00,1.1184,1.11872,1.11685,1.11745,12233.3203,74.29805615550565
2017-05-24 16:00:00,1.11745,1.11821,1.11738,1.11774,8027.1802,68.66945606694328
2017-05-24 17:00:00,1.11773,1.11898,1.11757,1.11867,6911.5,66.85755189692111
2017-05-24 18:00:00,1.11867,1.12163,1.11789,1.11972,18527.4102,67.3998428908084
2017-05-24 19:00:00,1.11971,1.12174,1.11936,1.1215,12059.3096,67.72629917709283
2017-05-24 20:00:00,1.12147,1.12199,1.12119,1.12185,6987.9902,63.960625361898096
2017-05-24 21:00:00,1.12182,1.12194,1.12118,1.12133,1821.65,61.45543562924118
2017-05-24 22:00:00,1.12136,1.12233,1.12106,1.12171,4710.9302,57.142857142856485
2017-05-24 23:00:00,1.12171,1.12332,1.12171,1.12304,4402.1001,58.15842924847619
2017-05-25 00:00:00,1.12306,1.12306,1.12204,1.12229,5679.6499,59.119064005504995
2017-05-25 01:00:00,1.12229,1.1231,1.12186,1.12234,6783.1499,54.863221884497335
2017-05-25 02:00:00,1.12235,1.12398,1.12225,1.1239,6853.6602,54.64174454828585
2017-05-25 03:00:00,1.1239,1.12444,1.12381,1.12386,6486.5298,58.339622641510104
2017-05-25 04:00:00,1.12387,1.12435,1.12362,1.12407,4745.1401,60.95311299000987
2017-05-25 05:00:00,1.12408,1.12447,1.12344,1.12436,5353.8701,57.023788852232926
2017-05-25 06:00:00,1.12435,1.12438,1.12265,1.12296,10101.4404,52.60291526509837
2017-05-25 07:00:00,1.12296,1.12447,1.12252,1.12432,11711.8701,55.64383150952058
2017-05-25 08:00:00,1.1243,1.12503,1.1235,1.1242,13760.3799,59.91379310344963
2017-05-25 09:00:00,1.12419,1.12419,1.12179,1.12248,12358.0801,51.923076923077275
2017-05-25 10:00:00,1.1225,1.1225,1.12088,1.12169,11008.1504,47.5426031118801
2017-05-25 11:00:00,1.12168,1.12188,1.1206,1.12139,10798.1201,51.097804391218396
2017-05-25 12:00:00,1.12139,1.12155,1.11937,1.12025,11802.1299,48.353205052532765
2017-05-25 13:00:00,1.12025,1.12154,1.12006,1.1214,12420.2402,51.98112172099681
2017-05-25 14:00:00,1.12141,1.12226,1.12048,1.12129,13185.3496,51.942663145982
2017-05-25 15:00:00,1.1213,1.12234,1.12116,1.12174,10250.9805,50.654582074520775
2017-05-25 16:00:00,1.12175,1.1226,1.12149,1.12179,7087.6699,50.60483870967732
2017-05-25 17:00:00,1.12179,1.12208,1.12007,1.12079,8276.0098,44.09148665819568
2017-05-25 18:00:00,1.12079,1.1208,1.11982,1.12046,7321.4199,43.03431169904877
